

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
161.449  000.694  000.216: require('neogit.lib.popup')
161.486  004.839  000.125: require('neogit.lib')
161.581  000.093  000.093: require('neogit.lib.signs')
161.813  000.129  000.129: require('neogit.lib.color')
161.816  000.233  000.104: require('neogit.lib.hl')
162.109  000.137  000.137: require('neogit.buffers.git_command_history')
162.556  000.208  000.208: require('neogit.buffers.commit_view.parsing')
162.782  000.222  000.222: require('neogit.buffers.commit_view.ui')
162.788  000.675  000.246: require('neogit.buffers.commit_view')
163.067  000.089  000.089: require('neogit.lib.git.pull')
163.156  000.086  000.086: require('neogit.lib.git.push')
163.161  000.368  000.192: require('neogit.lib.git.repository')
163.311  000.148  000.148: require('neogit.lib.functional')
163.402  000.089  000.089: require('neogit.lib.line_buffer')
163.487  000.082  000.082: require('neogit.lib.fs')
163.598  001.779  000.281: require('neogit.status')
163.847  000.101  000.101: require('neogit.popups.commit')
164.133  000.087  000.087: require('neogit.buffers.log_view.ui')
164.139  000.194  000.106: require('neogit.buffers.log_view')
164.141  000.291  000.098: require('neogit.popups.log')
164.240  000.097  000.097: require('neogit.popups.push')
164.338  000.095  000.095: require('neogit.popups.pull')
164.432  000.091  000.091: require('neogit.popups.stash')
164.528  000.093  000.093: require('neogit.popups.help')
164.530  000.921  000.152: require('neogit.popups')
164.826  000.103  000.103: require('neogit.autocmds')
164.841  008.400  000.328: require('neogit')
165.782  000.101  000.101: require('packer.load')
166.833  000.106  000.106: require('cmp_nvim_lsp.source')
166.838  001.160  000.952: require('cmp_nvim_lsp')
166.850  001.401  000.242: require('config.plugins.configs.lspconfig.capabilities')
166.853  001.631  000.230: require('config.plugins.configs.lspStatus')
167.160  000.110  000.110: require('lsp-status/diagnostics')
167.356  000.092  000.092: require('lsp-status/util')
167.447  000.088  000.088: require('lsp-status/redraw')
167.540  000.376  000.196: require('lsp-status/messaging')
167.714  000.168  000.168: require('lsp-status/extensions/pyls_ms')
167.813  000.096  000.096: require('lsp-status/extensions/clangd')
167.935  000.119  000.119: require('lsp-status/current_function')
168.059  000.121  000.121: require('lsp-status/statusline')
168.143  001.287  000.297: require('lsp-status')
168.718  000.174  000.174: require('lspconfig.util')
168.722  000.291  000.118: require('lspconfig.configs')
168.725  000.386  000.095: require('lspconfig')
169.432  000.103  000.103: require('neodev')
169.528  000.092  000.092: require('neodev.config')
169.740  000.096  000.096: require('neodev.util')
169.743  000.202  000.105: require('neodev.lsp')
174.895  000.123  000.123: require('lspconfig.server_configurations.sumneko_lua')
175.317  007.090  006.183: require('config.plugins.configs.lspconfig.servers.lua')
178.530  000.257  000.257: require('lspconfig.server_configurations.rust_analyzer')
178.910  003.583  003.326: require('config.plugins.configs.lspconfig.servers.rust')
179.252  000.159  000.159: require('lspconfig.server_configurations.groovyls')
179.453  000.534  000.375: require('config.plugins.configs.lspconfig.servers.groovy')
179.830  000.190  000.190: require('lspconfig.server_configurations.pyright')
180.344  000.447  000.447: require('lspconfig/util')
180.595  001.128  000.492: require('config.plugins.configs.lspconfig.servers.python')
180.925  000.167  000.167: require('lspconfig.server_configurations.cssls')
181.559  000.949  000.782: require('config.plugins.configs.lspconfig.servers.css')
181.960  000.168  000.168: require('lspconfig.server_configurations.csharp_ls')
182.130  000.554  000.386: require('config.plugins.configs.lspconfig.servers.cs')
182.430  000.146  000.146: require('lspconfig.server_configurations.gopls')
182.516  000.375  000.229: require('config.plugins.configs.lspconfig.servers.go')
183.265  000.613  000.613: require('lspconfig.server_configurations.dockerls')
183.324  000.804  000.192: require('config.plugins.configs.lspconfig.servers.docker')
183.705  000.187  000.187: require('lspconfig.server_configurations.yamlls')
183.867  000.496  000.309: require('config.plugins.configs.lspconfig.servers.yaml')
184.203  000.180  000.180: require('lspconfig.server_configurations.bashls')
184.481  000.610  000.430: require('config.plugins.configs.lspconfig.servers.bash')
185.176  000.521  000.521: require('lspconfig.server_configurations.eslint')
185.533  001.044  000.523: require('config.plugins.configs.lspconfig.servers.eslint')
185.883  000.179  000.179: require('lspconfig.server_configurations.html')
186.093  000.554  000.375: require('config.plugins.configs.lspconfig.servers.html')
186.465  000.187  000.187: require('lspconfig.server_configurations.tsserver')
186.771  000.665  000.478: require('config.plugins.configs.lspconfig.servers.ts')
187.321  000.325  000.325: require('lspconfig.server_configurations.jdtls')
187.390  000.605  000.280: require('config.plugins.configs.lspconfig.servers.java')
187.753  000.194  000.194: require('lspconfig.server_configurations.intelephense')
187.925  000.531  000.337: require('config.plugins.configs.lspconfig.servers.php')
188.429  000.160  000.160: require('config.core.fs')
188.550  000.417  000.256: require('config.plugins.configs.lspconfig.efm.vale')
188.783  000.228  000.228: require('config.plugins.configs.lspconfig.efm.eslint')
189.045  000.250  000.250: require('config.plugins.configs.lspconfig.efm.jq')
189.236  000.187  000.187: require('config.plugins.configs.lspconfig.efm.json-prettier')
189.467  000.226  000.226: require('config.plugins.configs.lspconfig.efm.prettier')
189.819  000.348  000.348: require('config.plugins.configs.lspconfig.efm.stylua')
190.034  000.210  000.210: require('config.plugins.configs.lspconfig.efm.luacheck')
190.226  000.186  000.186: require('config.plugins.configs.lspconfig.efm.rustfmt')
190.452  000.221  000.221: require('config.plugins.configs.lspconfig.efm.python')
190.670  000.213  000.213: require('config.plugins.configs.lspconfig.efm.dprint')
190.869  000.195  000.195: require('config.plugins.configs.lspconfig.efm.shellcheck')
191.379  000.506  000.506: require('config.plugins.configs.lspconfig.efm.shfmt')
191.592  000.209  000.209: require('config.plugins.configs.lspconfig.efm.gofmt')
192.099  000.502  000.502: require('config.plugins.configs.lspconfig.efm.goimports')
192.563  000.459  000.459: require('config.plugins.configs.lspconfig.efm.golines')
192.670  000.102  000.102: require('lspconfig.server_configurations.efm')
192.740  004.810  000.351: require('config.plugins.configs.lspconfig.servers.efm')
192.955  000.106  000.106: require('lspconfig.server_configurations.clangd')
193.072  000.328  000.222: require('config.plugins.configs.lspconfig.servers.c')
193.171  000.093  000.093: require('mkdir')
193.405  000.094  000.094: require('git-conflict.colors')
193.502  000.094  000.094: require('git-conflict.utils')
193.522  000.346  000.158: require('git-conflict')
194.199  000.097  000.097: require('lib.log')
194.367  000.163  000.163: require('deps.msgpack')
194.698  000.324  000.324: require('deps.serpent')
194.812  000.109  000.109: require('presence.file_explorers')
195.005  000.189  000.189: require('presence.file_assets')
195.103  000.094  000.094: require('presence.plugin_managers')
195.297  000.089  000.089: require('deps.struct')
195.302  000.195  000.106: require('presence.discord')
195.310  001.382  000.211: require('presence')
196.073  000.031  000.031: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/start/presence.nvim/autoload/presence.vim
197.650  000.137  000.137: require('stabilize')
198.176  000.100  000.100: require('hlargs.config')
